url,ten_san_pham,ngay_dang,nam_sx,nhien_lieu,kieu_dang,tinh_trang,so_km,hop_so,xuat_xu,dia_diem,gia_ban
https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/xe-dep-aidxc23374914,Toyota Corolla Altis 1.8 G 2019,09/10/2025,2019,Máy xăng,Sedan,Xe cũ,85000.0,Số tự động,Trong nước,Hóc Môn - Tp.HCM,0.485
https://oto.com.vn/mua-ban-xe-hyundai-accent-hcm/2022-14-mt-tieu-chuan-21000-km-aidxc23380922,Hyundai Accent 1.4 MT Tiêu chuẩn 2022,26/10/2025,2022,Máy xăng,Sedan,Xe cũ,21000.0,Số sàn,Trong nước,Tp.HCM,0.345
https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/2012-20g-chat-luong-tai-hang-aidxc23379794,Toyota Innova 2.0G 2012,23/10/2025,2012,Máy xăng,MPV,Xe cũ,150000.0,Số tự động,Nhập khẩu,Tp.HCM,0.35
https://oto.com.vn/mua-ban-xe-vinfast-lux-a20-hcm/2021-premium-20-at-57000-km-aidxc23379570,VinFast LUX A2.0 Cao cấp 2021,22/10/2025,2021,Máy xăng,Sedan,Xe cũ,57000.0,Số tự động,Trong nước,Tp.HCM,0.495
https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/2019-25q-odo-99892-km-aidxc23379717,Toyota Camry 2.5Q 2019,23/10/2025,2019,Máy xăng,Sedan,Xe cũ,99892.0,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,0.81
https://oto.com.vn/mua-ban-xe-kia-morning-hcm/can-ban-2017-si-125-at-mau-do-aidxc23379130,Kia Morning Si 1.25 AT 2017,22/10/2025,2017,Máy xăng,Hatchback,Xe cũ,49000.0,Số tự động,Trong nước,Quận 1 - Tp.HCM,0.269
https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/20e-2021-chuan-7-van-bh-1-nam-ho-tro-vay-aidxc23380749,Toyota Innova 2.0E 2021,25/10/2025,2021,Máy xăng,MPV,Xe cũ,76000.0,Số sàn,Nhập khẩu,Thủ Dầu Một - Tp.HCM,0.558
https://oto.com.vn/mua-ban-xe-toyota-vios-hcm/e-2021-gia-dinh-ko-kinh-doanh-di-it-19k-aidxc23379252,Toyota Vios 1.5E MT 2021,22/10/2025,2021,Máy xăng,Sedan,Xe cũ,19000.0,Số sàn,Trong nước,Tp.HCM,0.37
https://oto.com.vn/mua-ban-xe-bmw-430i-hcm/convertible-m-sport-model-2024-mau-moi-option-them-100tr-aidxc23371426,BMW 430i Convertible 2023,29/09/2025,2023,Máy xăng,Convertible,Xe cũ,22000.0,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,2.638
https://oto.com.vn/mua-ban-xe-mazda-2-hcm/0-48000-km-aidxc23378440,Mazda 2 Luxury 2022,20/10/2025,2022,Máy xăng,Hatchback,Xe cũ,48000.0,Số tự động,Nhập khẩu,Tp.HCM,0.419
https://oto.com.vn/mua-ban-xe-toyota-sienna-hcm/le-2008-sieu-cop-may-zin-cuc-moi-aidxc23379282,Toyota Sienna LE 3.5 AT FWD 2008,22/10/2025,2008,Máy xăng,MPV,Xe cũ,68000.0,Số tự động,Nhập khẩu,Tp.HCM,0.415
https://oto.com.vn/mua-ban-xe-honda-cr-v-hcm/1-chu-sieu-luot-aidxc23377192,Honda CR-V e:HEV RS 2024,15/10/2025,2024,Hybrid,SUV,Xe cũ,20000.0,Số tự động,Nhập khẩu,Quận 8 - Tp.HCM,1.22
https://oto.com.vn/mua-ban-xe-mini-cooper-s-hcm/ca-tinh-the-thao-aidxc23377543,Mini Cooper S 3 cửa 2022,15/10/2025,2022,Máy xăng,Sport Car,Xe cũ,9555.0,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,1.579
https://oto.com.vn/mua-ban-xe-ford-everest-hcm/2020-titanium-20l-at-4x2-34000-km-aidxc23379514,Ford Everest Titanium 2.0 AT 4x2 2020,22/10/2025,2020,Máy dầu,SUV,Xe cũ,34000.0,Số tự động,Nhập khẩu,Tp.HCM,0.895
https://oto.com.vn/mua-ban-xe-toyota-wigo-hcm/dk-t82020-so-td-12-mot-chu-mua-moi-aidxc23380904,Toyota Wigo 1.2 G AT 2020,26/10/2025,2020,Máy xăng,Hatchback,Xe cũ,30000.0,Số tự động,Nhập khẩu,Tp.HCM,0.295
https://oto.com.vn/mua-ban-xe-mercedes-benz-c-250-hcm/full-black-edition-cuc-ngau-aidxc23380435,Mercedes-Benz C250 Exclusive 2017,24/10/2025,2017,Máy xăng,Sedan,Xe cũ,91000.0,Số tự động,Trong nước,Quận 7 - Tp.HCM,0.655
https://oto.com.vn/mua-ban-xe-hyundai-accent-hcm/dac-biet-2023-aidxc23372895,Hyundai Accent 1.4 AT Đặc biệt 2023,03/10/2025,2023,Máy xăng,Sedan,Xe cũ,40000.0,Số tự động,Trong nước,Quận 6 - Tp.HCM,0.465
https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/2024-legender-24-at-4x2-6700-km-aidxc23378074,Toyota Fortuner 2.4 AT 4x2 Legender 2024,20/10/2025,2024,Máy xăng,SUV,Xe cũ,6700.0,Số tự động,Nhập khẩu,Tp.HCM,1.15
https://oto.com.vn/mua-ban-xe-kia-forte-hcm/ban-xe-ex-5-cho-may-16-so-tay-sx-2011-mau-bac-aidxc23335332,Kia Forte EX 1.6 MT 2011,15/10/2025,2011,Máy xăng,Sedan,Xe cũ,70000.0,Số sàn,Trong nước,Tp.HCM,0.215
https://oto.com.vn/mua-ban-xe-mercedes-benz-glb-35-hcm/glb-2022-35-4matic-27000-km-aidxc23380298,Mercedes-Benz GLB 35 AMG 2022,24/10/2025,2022,Máy xăng,SUV,Xe cũ,27000.0,Số tự động,Trong nước,Tp.HCM,1.6800000000000002
https://oto.com.vn/mua-ban-xe-ford-everest-hcm/titanium-2022-aidxc23379133,Ford Everest Titanium 2.0 AT 4x2 2022,22/10/2025,2022,Máy dầu,SUV,Xe cũ,48000.0,Số tự động,Nhập khẩu,Tp.HCM,0.95
https://oto.com.vn/mua-ban-xe-mitsubishi-outlander-hcm/o-to-premium-2021-do-aidxc23379331,Mitsubishi Outlander Premium 2021,22/10/2025,2021,Máy xăng,SUV,Xe cũ,135.0,Số tự động,Trong nước,Tp.HCM,0.645
https://oto.com.vn/mua-ban-xe-toyota-wigo-hcm/2019-12-mt-12-km-aidxc23380680,Toyota Wigo 1.2 G MT 2019,25/10/2025,2019,Máy xăng,Hatchback,Xe cũ,12.0,Số sàn,Nhập khẩu,Tp.HCM,0.225
https://oto.com.vn/mua-ban-xe-mercedes-benz-amg-gt-53-hcm/cuc-hiem-mercedes-amg-gt53-model-2022-bao-check-aidxc23380517,Mercedes-Benz AMG GT 53 4MATIC Coupe 2021,25/10/2025,2021,Máy xăng,Coupe,Xe cũ,30000.0,Số tự động,Nhập khẩu,Tp.HCM,3.6
https://oto.com.vn/mua-ban-xe-chevrolet-captiva-hcm/ltz-dk-t82015-so-td-moi-90-aidxc23380899,Chevrolet Captiva LTZ   2015,26/10/2025,2015,Máy xăng,SUV,Xe cũ,67000.0,Số tự động,Trong nước,Tp.HCM,0.385
https://oto.com.vn/mua-ban-xe-ford-everest-hcm/2021-4x4-20-titanium-39000-km-aidxc23380172,Ford Everest Titanium 2.0L AT 4WD 2021,24/10/2025,2021,Máy dầu,SUV,Xe cũ,39000.0,Số tự động,Nhập khẩu,Tp.HCM,0.92
https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2016-xls-22l-4x2-at-12van-aidxc23379420,Ford Ranger XLS 2.2L 4x2 MT 2016,22/10/2025,2016,Máy dầu,Bán tải,Xe cũ,12000.0,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM,0.395
https://oto.com.vn/mua-ban-xe-porsche-718-hcm/cayman-aidxc23380309,Porsche 718 cayman 2017,24/10/2025,2017,Máy xăng,Sport Car,Xe cũ,20000.0,Số tự động,Nhập khẩu,Thủ Đức - Tp.HCM,2.7800000000000002
https://oto.com.vn/mua-ban-xe-chevrolet-cruze-hcm/2018-ltz-18l-6000-km-aidxc23378398,Chevrolet Cruze LTZ 1.8 2018,20/10/2025,2018,Máy xăng,Sedan,Xe cũ,6000.0,Số tự động,Trong nước,Tp.HCM,0.386
https://oto.com.vn/mua-ban-xe-ford-ecosport-hcm/2015-tai-tp-aidxc23378756,Ford EcoSport 2015,21/10/2025,2015,Máy xăng,SUV,Xe cũ,44000.0,Số tự động,Nhập khẩu,Tp.HCM,0.33
https://oto.com.vn/mua-ban-xe-mazda-cx-3-hcm/15at-2023-moi-21000-km-aidxc23380735,Mazda CX-3 1.5L Deluxe 2023,25/10/2025,2023,Máy xăng,SUV,Xe cũ,21000.0,Số tự động,Nhập khẩu,Tp.HCM,0.515
https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/odometer-65000-km-xe-con-rat-moi-va-trong-tinh-trang-hoat-dong-tot-aidxc23379900,Ford Ranger XLS 2.0L 4x2 AT 2023,23/10/2025,2023,Máy dầu,Bán tải,Xe cũ,65000.0,Số tự động,Trong nước,Thủ Đức - Tp.HCM,0.599
https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-250-hcm/4matic-2019-aidxc23379346,Mercedes-Benz GLC 250 4Matic 2019,22/10/2025,2019,Máy xăng,SUV,Xe cũ,1.0,Số tự động,Nhập khẩu,Tp.HCM,1.079
https://oto.com.vn/mua-ban-xe-mercedes-benz-sprinter-hcm/mercedes-doi-2005-3-cho940kg-aidxc23380935,Mercedes-Benz Sprinter 2005,26/10/2025,2005,Máy dầu,Van/Minivan,Xe cũ,180000.0,Số sàn,Nhập khẩu,Tp.HCM,0.116
https://oto.com.vn/mua-ban-xe-mazda-3-hcm/2022-15l-luxury-26000-km-1-chu-tu-dau-aidxc23380795,Mazda 3 Sedan 1.5L Luxury 2022,25/10/2025,2022,Máy xăng,Sedan,Xe cũ,26000.0,Số tự động,Trong nước,Tp.HCM,0.565
https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/xls-at-4x2-2022-bac-bach-kim-aidxc23378496,Ford Ranger XLS 2.0L 4x2 AT 2022,20/10/2025,2022,Máy dầu,Bán tải,Xe cũ,63868.0,Số tự động,Nhập khẩu,Tp.HCM,0.585
https://oto.com.vn/mua-ban-xe-ford-transit-hcm/odo-80000km-aidxc23378134,Ford Transit Standard 2023,20/10/2025,2023,Máy dầu,Van/Minivan,Xe cũ,80000.0,Số sàn,Trong nước,Thủ Đức - Tp.HCM,0.619
https://oto.com.vn/mua-ban-xe-mini-cooper-hcm/jcw-convertible-2021-lai-la-nghien-aidxc23380593,Mini Cooper John  Works Convertible 2021,25/10/2025,2021,Máy xăng,Convertible,Xe cũ,9000.0,Số tự động,Nhập khẩu,Tp.HCM,2.18
https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/24l-4x2-at-2022-trang-aidxc23378556,Toyota Fortuner 2.4G 4x2 AT  2022,20/10/2025,2022,Máy xăng,SUV,Xe cũ,110000.0,Số tự động,Nhập khẩu,Tp.HCM,0.945
https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/2008-le-24-12500-km-aidxc23379886,Toyota Camry LE 2.4 2008,23/10/2025,2008,Máy xăng,Sedan,Xe cũ,12500.0,Số tự động,Trong nước,Tp.HCM,0.285
https://oto.com.vn/mua-ban-xe-bmw-420i-hcm/4-series-dang-ky-2015-coupe-88000-miles-aidxc23378466,BMW 420i 2015,20/10/2025,2015,Máy xăng,Coupe,Xe cũ,88000.0,Số tự động,Nhập khẩu,Thủ Dầu Một - Tp.HCM,0.555
https://oto.com.vn/mua-ban-xe-toyota-veloz-cross-hcm/top-2023-do-pha-le-cuc-moi-aidxc23380892,Toyota Veloz Cross CVT Top 2023,26/10/2025,2023,Máy xăng,MPV,Xe cũ,43000.0,Số tự động,Nhập khẩu,Tp.HCM,0.496
https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/2020-20g-67000-km-aidxc23379952,Toyota Camry 2.0G 2020,23/10/2025,2020,Máy xăng,Sedan,Xe cũ,67000.0,Số tự động,Nhập khẩu,Tp.HCM,0.8
https://oto.com.vn/mua-ban-xe-hyundai-accent-hcm/2021-14-at-dac-biet-1-chu-zin-aidxc23380346,Hyundai Accent 1.4 AT Đặc biệt 2021,24/10/2025,2021,Máy xăng,Sedan,Xe cũ,39000.0,Số tự động,Trong nước,Tp.HCM,0.439
